id;bank_code;bank_name;initial_name;bi_code;swift_code
1;Personal L;connect Zimbabwe Dollar;Forward;Pre;Kids Customer
2;Practical ;Tunnel;Configuration;Jew;Gorgeous ROI impleme
3;Saint Hele;Borders;Integration;Bon;Facilitator
4;Cambridges;Borders Internal;open-source Ouguiya;AGP;optical deposit
5;Pizza Fish;UIC-Franc;Generic El Salvador Colon US Dollar purple;XSS;Music copying Reduce
6;Chair conn;Adaptive black;Money Market Account;New;Solomon Islands
7;Wooden rad;Facilitator 24/365;Sausages bypass;Dir;bypass hard drive Ho
8;Checking A;SCSI;Technician Architect calculate;Aut;Movies Sports
9;target;compress UAE Dirham Dam;Wells;par;calculating conglome
10;Kroon depo;Liaison Grocery capacitor;applications invoice unleash;met;e-services
