id;trans_code;trans_desc;trans_date;trans_type;qty;amount;unique_charges;net_amount;status
1;e-business;Rand Soap;2019-10-15;L;27859;34761;17701;3180;B
2;Island cya;Granite open architecture;2019-10-14;L;48114;62790;68778;8175;G
3;Home;primary quantify Chips;2019-10-15;c;61825;75995;36891;53126;m
4;feed;connecting generate Music;2019-10-14;b;10486;26924;73740;37728;T
5;overriding;internet solution;2019-10-15;N;59359;47396;67910;35510;w
6;Nevada qua;empower;2019-10-14;D;24435;35609;49824;98651;P
7;Music;Pants;2019-10-15;P;28509;80586;17337;5565;b
8;Fresh incu;Jewelery Engineer Bedfordshire;2019-10-14;p;47661;27997;83858;76949;s
9;system;Buckinghamshire;2019-10-15;M;28863;8729;58123;50610;A
10;Montenegro;frictionless;2019-10-14;B;54892;98996;20173;32235;p
