id;country_code;country_name;nationality
1;SA;world-class hacking Cambridgeshire;Aruba discrete
2;IO;Fantastic Wooden Towels generate Toys;Sleek Plastic Car matrix
3;CR;orange;help-desk
4;DE;Movies microchip Specialist;alarm
5;NA;applications index Money Market Account;secured line port compressing
6;CK;harness;Assistant recontextualize ivory
7;RS;Montenegro Tuna;Practical Saint Kitts and Nevis
8;PH;Ball;Borders web-enabled Checking Account
9;KN;seamless;migration panel quantify
10;BL;Buckinghamshire Bedfordshire holistic;Stream Chicken Fish
