id;tax_code;short_desc;long_desc
1;Beauty Orc;Mobility;connect
2;Kwanza bus;withdrawal;transparent cross-platform
3;program;Data Industrial;olive Assistant Incredible
4;Books;next-generation payment Rustic;transmit invoice program
5;Rial Omani;Gorgeous infomediaries utilize;forecast
6;Generic mu;Taka Industrial Sleek;neural-net Ergonomic Cambridgeshire
7;Reactive C;whiteboard composite Synergist;engineer
8;Marketing;transitional Garden;Streets Optimized
9;silver Kid;killer;hack cyan
10;Cambridges;Bangladesh payment;Multi-lateral program
